z_meas,qc_meas,z,qc,z_koppejan,qc_koppejan,z_filter,qc_filter
-0.30024,1.06,0.41112,1.92,-0.29232,0.44,,
-0.30168,1.04,0.40968,1.92,-0.29376,0.43,,
-0.30312,1.02,0.40824,1.92,-0.2952,0.43,,
-0.30456,1,0.4068,1.92,-0.29664,0.42,,
-0.30744,0.98,0.40536,1.92,-0.29808,0.42,,
-0.30888,0.95,0.40428,1.92,-0.29952,0.42,,
-0.31032,0.93,0.40284,1.92,-0.30096,0.41,,
-0.31176,0.91,0.4014,1.92,-0.3024,0.41,,
-0.3132,0.89,0.39996,1.92,-0.30384,0.4,,
-0.31464,0.86,0.39852,1.92,-0.30528,0.4,,
-0.31572,0.84,0.39708,1.92,-0.30672,0.39,,
-0.31716,0.82,0.39564,1.92,-0.30816,0.39,,
-0.3186,0.8,0.3942,1.92,-0.30924,0.38,,
-0.32004,0.79,0.39276,1.92,-0.31068,0.38,,
-0.32148,0.77,0.39132,1.92,-0.31212,0.37,,
-0.32292,0.75,0.38988,1.92,-0.31356,0.37,,
-0.32436,0.73,0.38844,1.92,-0.315,0.36,,
-0.3258,0.71,0.387,1.92,-0.31644,0.35,,
-0.32724,0.7,0.38556,1.92,-0.31788,0.35,,
-0.32868,0.68,0.38412,1.92,-0.31932,0.34,,
-0.33012,0.67,0.38268,1.92,-0.32076,0.34,,
-0.33156,0.65,0.38124,1.92,-0.3222,0.33,,
-0.333,0.64,0.3798,1.92,-0.32364,0.33,,
-0.33444,0.63,0.37836,1.92,-0.32508,0.32,,
-0.33588,0.62,0.37692,1.92,-0.32652,0.31,,
-0.33732,0.61,0.37548,1.92,-0.32796,0.31,,
-0.3402,0.6,0.3744,1.92,-0.3294,0.3,,
-0.34164,0.59,0.37296,1.92,-0.33084,0.3,,
-0.34308,0.58,0.37152,1.92,-0.33228,0.3,,
-0.34452,0.57,0.37008,1.92,-0.33372,0.29,,
-0.3456,0.56,0.36864,1.92,-0.33516,0.29,,
-0.34704,0.56,0.3672,1.92,-0.3366,0.28,,
-0.34848,0.55,0.36576,1.92,-0.33804,0.28,,
-0.34992,0.54,0.36432,1.92,-0.33912,0.28,,
-0.35136,0.53,0.36288,1.92,-0.34056,0.27,,
-0.3528,0.52,0.36144,1.92,-0.342,0.27,,
-0.35424,0.51,0.36,1.92,-0.34344,0.27,,
-0.35568,0.51,0.35856,1.92,-0.34488,0.27,,
-0.35712,0.5,0.35712,1.92,-0.34632,0.26,,
-0.35856,0.5,0.35568,1.92,-0.34776,0.26,,
-0.36,0.49,0.35424,1.92,-0.3492,0.27,,
-0.36144,0.49,0.3528,1.92,-0.35064,0.27,,
-0.36288,0.49,0.35136,1.92,-0.35208,0.28,,
-0.36432,0.49,0.34992,1.92,-0.35352,0.29,,
-0.36576,0.5,0.34848,1.92,-0.35496,0.3,,
-0.3672,0.5,0.34704,1.92,-0.3564,0.31,,
-0.36864,0.51,0.3456,1.92,-0.35784,0.32,,
-0.37008,0.52,0.34452,1.92,-0.35928,0.32,,
-0.37296,0.53,0.34308,1.92,-0.36072,0.33,,
-0.37296,0.54,0.34164,1.92,-0.36216,0.34,,
-0.37548,0.56,0.3402,1.92,-0.3636,0.35,,
-0.37692,0.57,0.33876,1.92,-0.36504,0.35,,
-0.37836,0.59,0.33732,1.92,-0.36648,0.36,,
-0.3798,0.61,0.33588,1.92,-0.36792,0.37,,
-0.38124,0.64,0.33444,1.92,-0.369,0.37,,
-0.38268,0.66,0.333,1.92,-0.37044,0.38,,
-0.38412,0.69,0.33156,1.92,-0.37188,0.39,,
-0.38556,0.72,0.33012,1.92,-0.37332,0.4,,
-0.387,0.75,0.32868,1.92,-0.37476,0.4,,
-0.38844,0.78,0.32724,1.92,-0.3762,0.41,,
-0.38988,0.8,0.3258,1.92,-0.37764,0.42,,
-0.39132,0.82,0.32436,1.92,-0.37908,0.43,,
-0.39276,0.84,0.32292,1.92,-0.38052,0.43,,
-0.3942,0.87,0.32148,1.92,-0.38196,0.44,,
-0.39564,0.89,0.32004,1.92,-0.3834,0.45,,
-0.39708,0.91,0.3186,1.92,-0.38484,0.45,,
-0.39852,0.92,0.31716,1.92,-0.38628,0.46,,
-0.39996,0.94,0.31572,1.92,-0.38772,0.46,,
-0.4014,0.95,0.31464,1.92,-0.38916,0.46,,
-0.40284,0.97,0.3132,1.92,-0.3906,0.46,,
-0.40428,0.98,0.31176,1.92,-0.39204,0.45,,
-0.40536,1,0.31032,1.92,-0.39348,0.45,,
-0.4068,1.01,0.30888,1.92,-0.39492,0.44,,
-0.40824,1.02,0.30744,1.92,-0.39636,0.44,,
-0.40968,1.03,0.306,1.92,-0.3978,0.44,,
-0.41112,1.04,0.30456,1.92,-0.39888,0.44,,
-0.41256,1.04,0.30312,1.92,-0.40032,0.44,,
-0.414,1.04,0.30168,1.92,-0.40176,0.43,,
-0.41688,1.04,0.30024,1.92,-0.4032,0.43,,
-0.41832,1.03,0.2988,1.92,-0.40464,0.43,,
-0.41976,1.03,0.29736,1.92,-0.40608,0.43,,
-0.4212,1.01,0.29592,1.92,-0.40752,0.42,,
-0.42264,1,0.29448,1.92,-0.40896,0.42,,
-0.42408,0.98,0.29304,1.92,-0.4104,0.42,,
-0.42552,0.97,0.2916,1.92,-0.41184,0.41,,
-0.42696,0.95,0.29016,1.92,-0.41328,0.41,,
-0.4284,0.94,0.28872,1.92,-0.41472,0.4,,
-0.42984,0.92,0.28728,1.92,-0.41616,0.4,,
-0.43128,0.9,0.28584,1.92,-0.4176,0.39,,
-0.43272,0.88,0.28476,1.92,-0.41904,0.39,,
-0.43416,0.86,0.28332,1.92,-0.42048,0.38,,
-0.43524,0.84,0.28188,1.92,-0.42192,0.38,,
-0.43668,0.83,0.28044,1.92,-0.42336,0.37,,
-0.43812,0.81,0.279,1.92,-0.4248,0.37,,
-0.43956,0.79,0.27756,1.92,-0.42624,0.36,,
-0.44244,0.77,0.27612,1.92,-0.42768,0.36,,
-0.44388,0.75,0.27468,1.92,-0.42876,0.35,,
-0.44532,0.73,0.27324,1.92,-0.4302,0.35,,
-0.44676,0.71,0.2718,1.92,-0.43164,0.34,,
-0.4482,0.69,0.27036,1.92,-0.43308,0.33,,
-0.44964,0.68,0.26892,1.92,-0.43452,0.33,,
-0.45108,0.66,0.26748,1.92,-0.43596,0.32,,
-0.45252,0.65,0.26604,1.92,-0.4374,0.32,,
-0.45396,0.64,0.2646,1.92,-0.43884,0.31,,
-0.4554,0.62,0.26316,1.92,-0.44028,0.31,,
-0.45684,0.61,0.26172,1.92,-0.44172,0.3,,
-0.45828,0.6,0.26028,1.92,-0.44316,0.3,,
-0.45972,0.59,0.25884,1.92,-0.4446,0.29,,
-0.46116,0.58,0.2574,1.92,-0.44604,0.29,,
-0.4626,0.57,0.25596,1.92,-0.44748,0.29,,
-0.46404,0.56,0.25488,1.92,-0.44892,0.28,,
-0.46656,0.55,0.25344,1.92,-0.45036,0.28,,
-0.468,0.54,0.252,1.92,-0.4518,0.28,,
-0.46944,0.54,0.25056,1.92,-0.45324,0.27,,
-0.47088,0.53,0.24912,1.92,-0.45468,0.27,,
-0.47232,0.52,0.24768,1.92,-0.45612,0.27,,
-0.47376,0.52,0.24624,1.92,-0.45756,0.26,,
-0.4752,0.51,0.2448,1.92,-0.45864,0.26,,
-0.47664,0.51,0.24336,1.92,-0.46008,0.26,,
-0.47808,0.51,0.24192,1.92,-0.46152,0.26,,
-0.47952,0.51,0.24048,1.92,-0.46296,0.26,,
-0.48096,0.51,0.23904,1.92,-0.4644,0.27,,
-0.4824,0.51,0.2376,1.92,-0.46584,0.27,,
-0.48384,0.51,0.23616,1.92,-0.46728,0.28,,
-0.48528,0.52,0.23472,1.92,-0.46872,0.29,,
-0.48672,0.52,0.23328,1.92,-0.47016,0.3,,
-0.48816,0.53,0.23184,1.92,-0.4716,0.31,,
-0.4896,0.54,0.2304,1.92,-0.47304,0.32,,
-0.49104,0.54,0.22896,1.92,-0.47448,0.32,,
-0.49248,0.55,0.22752,1.92,-0.47592,0.33,,
-0.49392,0.56,0.22608,1.92,-0.47736,0.34,,
-0.495,0.56,0.225,1.92,-0.4788,0.35,,
-0.49644,0.57,0.22356,1.92,-0.48024,0.35,,
-0.49788,0.58,0.22212,1.92,-0.48168,0.36,,
-0.49932,0.6,0.22068,1.92,-0.48312,0.37,,
-0.50076,0.61,0.21924,1.92,-0.48456,0.38,,
-0.5022,0.63,0.2178,1.92,-0.486,0.38,,
-0.50364,0.64,0.21636,1.92,-0.48744,0.39,,
-0.50508,0.65,0.21492,1.92,-0.48852,0.4,,
-0.50652,0.67,0.21348,1.92,-0.48996,0.41,,
-0.50796,0.68,0.21204,1.92,-0.4914,0.41,,
-0.5094,0.69,0.2106,1.92,-0.49284,0.42,,
-0.51084,0.7,0.20916,1.92,-0.49428,0.43,,
-0.51372,0.72,0.20772,1.92,-0.49572,0.44,,
-0.51516,0.73,0.20628,1.92,-0.49716,0.44,,
-0.5166,0.74,0.20484,1.92,-0.4986,0.45,,
-0.51804,0.76,0.2034,1.92,-0.50004,0.46,,
-0.51948,0.77,0.20196,1.92,-0.50148,0.46,,
-0.52092,0.78,0.20052,1.92,-0.50292,0.46,,
-0.52236,0.79,0.19908,1.92,-0.50436,0.46,,
-0.5238,0.8,0.19764,1.92,-0.5058,0.46,,
-0.52488,0.81,0.1962,1.92,-0.50724,0.46,,
-0.52632,0.81,0.19512,1.92,-0.50868,0.45,,
-0.52776,0.82,0.19368,1.92,-0.51012,0.45,,
-0.5292,0.82,0.19224,1.92,-0.51156,0.45,,
-0.53064,0.82,0.1908,1.92,-0.513,0.45,,
-0.53208,0.82,0.18936,1.92,-0.51444,0.44,,
-0.53352,0.82,0.18792,1.92,-0.51588,0.44,,
-0.53496,0.82,0.18648,1.92,-0.51732,0.44,,
-0.5364,0.82,0.18504,1.92,-0.5184,0.44,,
-0.53784,0.82,0.1836,1.92,-0.51984,0.43,,
-0.53928,0.81,0.18216,1.92,-0.52128,0.43,,
