meas_y,meas_x,estimated_y,estimated_x
-21.07,1.61,-0.71,1.92
-21.11,1.65,-0.75,1.92
-21.15,1.69,-0.79,1.92
-21.19,1.72,-0.83,1.92
-21.23,1.74,-0.87,1.92
-21.26,1.77,-0.91,1.92
-21.3,1.79,-0.95,1.92
-21.34,1.81,-0.99,1.92
-21.38,1.83,-1.03,1.92
-21.42,1.85,-1.07,1.92
-21.46,1.87,-1.11,1.92
-21.5,1.88,-1.15,1.92
-21.54,1.9,-1.19,1.92
-21.58,1.91,-1.23,1.92
-21.62,1.93,-1.26,1.92
-21.66,1.94,-1.3,1.92
-21.7,1.95,-1.34,1.92
-21.74,1.96,-1.38,1.92
-21.78,1.96,-1.42,1.92
-21.82,1.97,-1.46,1.92
-21.86,1.98,-1.5,1.92
-21.94,1.98,-1.54,1.92
-21.98,1.98,-1.58,1.92
-22.02,1.99,-1.62,1.92
-22.06,2,-1.66,1.92
-22.09,2,-1.7,1.92
-22.13,2,-1.74,1.92
-22.17,2.01,-1.78,1.92
-22.21,2.01,-1.82,1.92
-22.25,2.02,-1.86,1.92
-22.29,2.03,-1.9,1.92
-22.33,2.03,-1.94,1.92
-22.37,2.03,-1.98,1.92
-22.41,2.04,-2.02,1.92
-22.45,2.04,-2.06,1.92
-22.49,2.04,-2.09,1.92
-22.53,2.05,-2.13,1.92
-22.57,2.05,-2.17,1.92
-22.61,2.05,-2.21,1.92
-22.65,2.05,-2.25,1.92
-22.69,2.05,-2.29,1.92
-22.73,2.05,-2.33,1.92
-22.77,2.05,-2.37,1.92
-22.85,2.05,-2.41,1.92
-22.89,2.05,-2.45,1.92
-22.92,2.06,-2.49,1.92
-22.96,2.05,-2.53,1.92
-23,2.06,-2.57,1.92
-23.04,2.06,-2.61,1.92
-23.08,2.06,-2.65,1.92
-23.12,2.06,-2.69,1.92
-23.16,2.06,-2.73,1.92
-23.2,2.07,-2.77,1.92
-23.24,2.07,-2.81,1.92
-23.28,2.07,-2.85,1.92
-23.32,2.07,-2.89,1.92
-23.36,2.07,-2.92,1.92
-23.4,2.08,-2.96,1.92
-23.44,2.08,-3,1.92
-23.48,2.08,-3.04,1.92
-23.52,2.08,-3.08,1.92
-23.56,2.08,-3.12,1.92
-23.6,2.08,-3.16,1.92
-23.64,2.08,-3.2,1.92
-23.68,2.08,-3.24,1.92
-23.72,2.09,-3.28,1.92
-23.79,2.09,-3.32,1.92
-23.83,2.09,-3.36,1.92
-23.87,2.09,-3.4,1.92
-23.91,2.09,-3.44,1.92
-23.95,2.09,-3.48,1.92
-23.99,2.09,-3.52,1.92
-24.03,2.09,-3.56,1.92
-24.07,2.09,-3.6,1.92
-24.11,2.09,-3.64,1.92
-24.15,2.09,-3.68,1.92
-24.19,2.09,-3.72,1.92
-24.23,2.09,-3.75,1.92
-24.27,2.09,-3.79,1.92
-24.31,2.09,-3.83,1.92
-24.35,2.09,-3.87,1.92
-24.43,2.1,-3.91,1.92
-24.47,2.09,-3.95,1.92
-24.51,2.09,-3.99,1.92
-24.55,2.09,-4.03,1.92
-24.58,2.09,-4.07,1.92
-24.62,2.08,-4.11,1.92
-24.66,2.08,-4.15,1.92
-24.7,2.08,-4.19,1.92
-24.74,2.08,-4.23,1.92
-24.78,2.08,-4.27,1.92
-24.82,2.08,-4.31,1.92
-24.86,2.07,-4.35,1.92
-24.9,2.07,-4.39,1.92
-24.94,2.07,-4.43,1.92
-24.98,2.07,-4.47,1.92
-25.02,2.07,-4.51,1.92
-25.06,2.06,-4.55,1.92
-25.1,2.06,-4.58,1.92
-25.18,2.06,-4.62,1.92
-25.22,2.05,-4.66,1.92
-25.26,2.05,-4.7,1.92
-25.3,2.05,-4.74,1.92
-25.34,2.05,-4.78,1.92
-25.38,2.04,-4.82,1.92
-25.42,2.04,-4.86,1.92
-25.45,2.03,-4.9,1.92
-25.49,2.03,-4.94,1.92
-25.53,2.03,-4.98,1.92
-25.57,2.03,-5.02,1.92
-25.61,2.02,-5.06,1.92
-25.65,2.01,-5.1,1.92
-25.69,2.01,-5.14,1.92
-25.73,2.01,-5.18,1.92
-25.77,2,-5.22,1.92
-25.81,2,-5.26,1.92
-25.85,2,-5.3,1.92
-25.89,1.99,-5.34,1.92
-25.93,1.99,-5.38,1.92
-25.97,1.98,-5.42,1.92
-26.01,1.98,-5.45,1.92
-26.09,1.97,-5.49,1.92
-26.13,1.97,-5.53,1.92
-26.17,1.96,-5.57,1.92
-26.21,1.96,-5.61,1.92
-26.25,1.95,-5.65,1.92
-26.28,1.95,-5.69,1.92
-26.32,1.94,-5.73,1.92
-26.36,1.94,-5.77,1.92
-26.4,1.93,-5.81,1.92
-26.44,1.93,-5.85,1.92
-26.48,1.92,-5.89,1.92
-26.52,1.92,-5.93,1.92
-26.56,1.91,-5.97,1.92
-26.6,1.91,-6.01,1.92
